age,Occupation,purchase_1,purchase_2,purchase_3,purchase_4,purchase_5
52,19,3041,532,183,21835,12338
53,6,3052,3999,872,8704,10117
20,8,3466,8520,138,18532,5271
50,2,1062,524,1677,22875,4637
55,8,1416,4021,1358,10176,8943
38,20,3767,1635,2084,241,4990
43,8,1705,6840,1161,17646,3727
38,8,831,1194,562,17067,96
65,10,4497,9547,1100,21931,12739
47,15,3625,3929,86,14172,2624
40,18,4175,7205,2313,6097,8851
45,18,2269,423,247,18948,14133
62,11,4994,2031,2147,20946,3620
62,6,2442,1398,1358,16670,8117
23,16,4249,5274,1446,4568,1269
29,3,2826,3741,1633,13138,10102
68,1,1433,5573,1390,12749,14245
32,18,2939,1552,1750,11543,825
59,6,3419,6491,978,9942,3774
36,16,1720,4324,204,13643,12755
64,20,3451,1898,1816,4848,11946
66,11,3200,8546,918,10298,3630
26,16,3178,6486,1285,6551,7346
43,11,1596,4875,1364,1292,3906
31,15,840,9348,1703,4073,1668
63,7,4109,3353,2473,3176,13131
46,6,2712,6624,2276,18037,8943
44,10,3781,8596,1632,15404,2298
69,4,3062,5246,415,40,4680
31,9,976,9988,2087,23296,14895
47,15,3128,9865,1794,21974,11020
68,19,3129,4111,184,10441,2366
48,6,2816,5404,970,6848,10004
50,13,3033,8474,1476,22029,13512
60,5,3581,4043,2242,10710,1243
22,17,1367,6625,960,19858,12514
28,1,3650,3940,733,16074,4252
47,2,2930,5545,2254,2185,14459
59,6,4432,7047,1219,24593,1018
55,11,4203,8205,1786,24800,272
23,2,752,6331,1977,17260,2716
45,17,2666,5099,836,9540,5583
29,3,3572,4726,621,19251,6050
50,9,852,3097,110,9985,2952
48,3,751,7285,45,4959,8285
33,5,1316,7434,497,14581,2643
52,11,3380,9286,92,3905,848
56,19,2549,540,1304,6964,6860
65,20,427,128,1165,1190,13606
21,16,1468,8728,1945,18799,4982
54,19,3211,9864,2141,2310,4241
25,4,1742,5694,1046,4784,10682
66,11,1129,1773,1137,12345,830
27,7,1824,3140,2113,5033,13013
69,9,3600,6914,2239,12179,11088
44,4,1548,9595,1262,8718,12377
42,2,2249,7363,1994,14486,6087
69,6,4778,1447,792,10223,3507
35,7,448,6987,1033,8484,1728
21,20,807,1200,2412,1168,2565
41,7,2495,2349,1418,19778,360
45,14,1267,5049,1080,17426,14093
28,5,4472,3523,2169,14763,416
18,8,4922,8657,1458,9804,5622
54,9,48,2308,840,19714,11121
27,11,33,3086,2384,2486,5265
51,6,2072,2223,124,10337,11607
17,2,3774,5870,2188,6894,8568
45,19,706,4892,801,9855,7491
39,11,4151,7197,2286,4814,11677
50,17,1802,6918,647,4291,12381
55,2,956,3586,1422,5961,2776
64,20,2572,5544,2285,9490,8420
35,1,1622,3853,2206,9209,7660
17,2,4103,6172,1967,23615,14605
37,13,4905,5600,1624,11032,1732
64,12,1746,5079,2134,13023,8355
66,2,2639,1194,2378,15680,10065
55,6,2561,1031,691,24672,12620
20,19,3187,4058,180,4986,6855
63,17,1994,3900,2228,13222,232
16,4,216,287,190,22955,7359
37,7,1099,875,1227,6923,7036
29,16,568,8471,1479,22092,13162
26,17,4082,8644,2111,2074,10822
26,10,55,3602,1737,2838,8259
52,7,3840,997,2300,4223,6616
31,14,3931,8838,1423,12753,12281
40,9,3938,9021,1542,20282,5925
18,17,13,5038,467,18833,5226
70,10,2011,4668,2458,15583,12
48,13,620,9050,2051,12287,1921
45,13,4119,2105,761,2633,11447
46,1,4411,1976,349,4619,11742
52,17,1059,7947,1230,9353,12798
37,20,2457,843,1870,23137,5284
19,18,2439,6300,2191,12389,7943
60,14,1315,7204,426,10952,4455
61,11,2444,7591,1780,15471,4279
54,10,903,9967,1988,11602,9439
32,18,1406,5992,93,6860,14922
66,10,1781,5080,1045,22135,13155
31,10,2948,2565,242,4237,1842
55,16,3314,1753,1847,23343,8480
33,10,3789,9646,37,22722,1482
68,7,4215,4088,494,6782,5296
36,1,3172,7659,1393,20254,6895
26,14,650,7411,2044,5729,8568
19,14,4702,3387,2431,23339,12531
64,7,4534,1455,1324,23528,288
47,19,4223,3767,2283,17309,9663
34,7,4431,50,298,4993,14686
48,4,3442,4734,2346,23178,11234
41,10,3362,158,1239,13893,4299
57,15,1179,9249,2187,3044,6671
32,6,584,5335,448,5956,1268
40,5,3448,5130,764,2652,10755
41,17,2152,4735,2016,5349,7938
48,2,514,1685,1958,12387,669
25,2,2097,5134,1255,18980,7919
33,15,4145,7575,1932,679,13743
51,18,2925,2561,1429,2235,1602
52,12,4148,4871,1657,2680,10105
60,1,1370,1433,1110,23053,14172
24,8,974,1733,512,4384,13980
24,13,2275,6887,1381,7723,5092
57,6,4856,9578,952,11656,3677
35,12,3554,5407,318,20303,4071
55,1,3075,9105,67,5318,14484
40,10,359,5042,975,18841,5445
44,14,3837,6501,1495,33,11725
58,20,2792,4437,220,6284,11024
38,2,3850,8834,1179,3254,1656
50,6,1062,4985,1218,12429,22
57,6,40,5834,1977,24249,9151
22,7,4577,5809,714,7965,14416
52,11,3451,4287,2080,1838,14348
57,5,3094,2951,24,8192,9117
37,16,2378,9877,1363,5149,1948
36,2,839,3475,2132,15087,8441
33,2,3755,8875,2398,4420,13890
65,5,3872,5239,1344,9619,14250
48,4,351,3958,955,7152,1144
58,4,4001,8376,823,24495,10955
42,19,4460,288,101,22182,11235
21,6,1887,9197,659,19356,7161
69,14,3735,3273,830,17624,6127
56,8,3905,1465,2002,6267,3543
52,2,4038,190,583,12909,12141
45,8,4303,3869,1201,8167,5099
36,11,4499,8987,2184,13499,7688
65,11,1058,5542,1193,850,6819
28,19,832,6444,214,17905,9875
28,20,1743,2327,159,2356,2962
66,8,1541,9466,1598,20273,5873
53,1,2394,506,173,18403,7551
23,19,375,8536,2369,10472,2489
46,6,4765,9937,21,9638,7154
70,17,3120,793,1996,2876,11648
41,18,3434,3603,1118,20891,12715
24,15,1171,7475,1911,2628,14110
40,5,3643,8162,1805,21177,9966
28,15,997,2201,454,14257,8886
23,4,3382,5716,338,20488,5334
61,2,4940,8638,2167,4545,876
59,13,1548,1120,1831,11515,14796
24,16,2994,8558,1532,14967,10270
60,8,4085,5796,524,19246,13312
68,20,3295,2778,1889,402,4661
60,7,3099,8858,931,8041,10538
41,7,2704,3890,797,9195,8999
38,13,1619,5278,1555,20407,6065
47,3,3986,6616,786,11979,10334
19,8,4190,7889,1185,22492,773
22,6,4186,2264,981,17548,3806
68,12,3573,8279,2337,3511,2219
21,13,2367,4666,530,13055,14598
60,14,3785,5432,789,20088,13137
61,20,3086,5027,2296,22179,6085
45,4,2569,57,40,10961,824
58,6,2460,7475,450,20401,957
53,7,4173,9302,247,14816,4589
55,13,985,650,898,5715,11761
68,5,3369,8017,2280,437,11514
30,14,3641,338,814,15379,8079
34,12,200,2052,1083,20797,6546
59,6,2239,8036,1023,9371,11332
64,2,3362,9554,639,693,7381
22,7,456,6927,1478,15058,10494
19,8,885,7699,1612,9158,7936
60,16,3389,5584,1915,3150,9160
48,1,1871,4532,678,15435,8905
48,8,4097,1130,265,21863,4495
56,10,4456,7839,649,13068,11062
52,11,4955,9224,17,13155,8223
48,18,3385,2640,1001,8647,14823
45,3,3389,9347,321,24899,9265
63,16,2148,6105,1676,3466,1923
32,10,4274,2567,1935,19190,7085
16,15,1833,7452,1628,21773,10932
36,18,4098,851,1767,4537,3031
58,3,2768,1151,740,1867,8199
67,3,2814,2506,183,5312,8147
39,2,1378,8715,330,18335,0
18,20,1067,3934,99,17222,5215
52,2,2347,269,447,1675,13325
37,19,2855,7048,1082,17156,9930
59,4,4354,2973,322,996,2606
59,12,4961,4721,2168,2220,5492
30,13,230,2283,2179,24400,9945
41,9,3705,1734,332,12273,12556
20,5,45,346,735,21627,6932
48,12,63,4596,1156,1202,7960
21,15,1278,1832,873,21219,13042
19,9,3746,7817,1074,10275,3291
31,17,4467,1545,282,2027,12986
48,1,2895,5661,685,7734,12079
59,2,458,8503,1503,12560,4541
39,5,956,9859,1394,18201,11714
52,2,1346,995,1201,1623,7267
60,16,4098,5022,112,23401,11257
54,19,2031,6321,1722,24732,14735
61,11,4894,7635,1807,17537,10077
49,5,910,6030,1559,13700,8933
64,20,1393,5584,1301,3751,10634
66,13,4037,9966,1694,4659,9578
38,13,685,7298,2132,9163,8498
29,3,2354,5812,2198,11383,1393
61,4,3236,8496,449,3342,7638
56,20,3503,4405,1647,5591,9450
36,3,2582,1941,1406,11358,14053
25,5,3501,2701,1890,17778,8114
58,6,858,2000,2018,11569,5973
47,14,287,660,1273,20241,6210
21,20,4107,7472,1404,10575,4425
28,12,587,2698,1649,7793,9779
56,8,2233,6403,284,21102,11013
46,7,2148,6713,1186,12674,165
37,12,2519,9392,855,10445,14253
29,7,3262,1158,1051,12956,11353
52,5,1706,4218,105,2142,13760
16,7,4576,7668,415,14031,2516
65,9,127,3122,1710,5564,3597
49,11,3703,8802,1427,18598,10178
16,5,4376,5461,441,14091,11934
57,14,2030,3929,878,13951,8361
24,1,3271,407,2121,6421,9678
63,12,4221,2605,1412,21019,9310
25,16,2436,2891,2271,24435,6638
69,8,161,7863,1042,1098,1239
44,18,269,5310,267,18645,4118
37,11,4836,8419,1301,643,5719
23,19,787,1294,965,10851,8692
35,11,2606,9518,1964,5068,14691
67,4,942,3590,1035,9568,6526
64,11,1264,3540,2190,4539,4943
48,11,986,9334,1799,18743,1534
26,1,2574,535,1281,5526,7846
40,3,691,4725,509,2112,9230
58,3,146,4068,945,15394,6372
53,9,4596,448,1554,6559,14797
42,3,3424,1375,2002,1968,4738
48,11,653,4722,1172,19733,12582
46,11,1116,8591,443,8252,14400
18,14,4373,2197,2465,2994,4742
66,5,860,937,902,5953,5542
38,16,2486,6841,1350,7339,11171
51,19,4633,4878,2164,20877,12770
22,14,933,6993,2413,671,11254
19,12,4991,148,2392,13620,9039
49,13,1154,9556,942,1762,2677
22,2,987,8606,1247,12747,12147
51,11,1418,4982,2497,1857,11561
26,19,3882,1897,2472,2774,96
67,15,933,5872,1063,2029,11937
59,2,1683,1563,1017,18357,12975
58,1,2784,9266,2358,23126,10769
32,12,4674,5186,2204,6909,11106
48,15,3010,1519,2138,15201,8283
30,17,4145,8126,1736,12325,5492
34,10,518,3534,1104,3730,7946
32,19,2334,1400,1252,369,6056
41,5,2023,9591,511,10877,12635
30,6,4774,7462,628,24164,11664
56,16,4532,8328,290,4825,1754
27,7,2710,4999,359,10513,6701
55,12,2739,173,2226,5161,3001
37,14,1797,3174,352,12935,3020
17,12,1030,6582,2205,18437,2862
60,7,4447,5767,2051,10843,2423
28,20,856,4927,2229,5863,8492
49,20,3281,5944,77,10312,9930
40,12,2507,815,760,1939,11837
16,10,1297,8647,2338,16793,6559
58,8,4044,960,961,6977,1712
50,6,1393,2877,990,12928,2084
29,16,4321,1197,383,21190,13616
64,15,4858,6634,1297,19381,734
22,3,593,1747,951,10359,7602
58,13,4314,3489,581,14084,6393
52,17,3547,1946,2252,15108,5205
61,11,4965,1646,2089,9285,7755
41,17,655,2975,2434,22360,8195
29,6,1043,1072,161,6585,4754
60,2,3339,3492,64,8785,11909
28,6,1601,5726,1137,22811,3821
60,7,4113,8964,1177,8351,14135
67,3,3390,6674,1424,12320,7834
45,14,1075,1870,2099,4824,14838
21,14,1760,7024,2317,17818,1611
43,1,3132,7771,2129,783,6303
47,5,4371,691,2165,7859,9814
34,5,194,5011,1239,5237,13493
59,14,1780,3524,2166,23458,14442
23,20,4049,8026,848,20464,12585
49,7,3412,2829,859,15198,10761
18,17,2063,7897,1530,13232,783
31,8,1083,4751,1128,10721,67
31,3,3473,8836,2116,15335,4054
33,2,245,6981,1061,2743,9596
64,9,670,9373,2313,3538,173
31,17,3635,5532,2090,18538,14387
37,16,1856,1007,1597,2643,13632
49,5,719,7299,2259,24205,2935
47,10,3296,2624,1515,2883,14995
62,5,1522,6689,2094,1440,2642
62,9,3841,7772,2185,5560,2747
47,13,1524,2478,931,11666,6508
21,14,1451,9272,585,16110,8543
34,9,3185,8390,546,20909,2937
